ID,PERID,uno,sero,tot,alt_out,Lin,Min,Hin,gend,gend1,nchlt11,Esc,Ho,Soc,AR,Eo
505,4933,1,0,1080,935,1,0,0,1,1,0,0,0,24,121,0
1007,9850,1,0,1080,1078,0,0,1,2,0,0,0,0,0,2,0
1643,15258,1,0,1080,539,0,1,0,2,0,0,0,534,0,0,7
249,2228,1,0,1080,910,0,0,1,2,0,0,102,68,0,0,0
688,6677,1,0,1080,521,1,0,0,2,0,0,0,559,0,0,0
1541,14469,1,0,1080,828,0,1,0,2,0,0,0,252,0,0,0
1545,14493,1,0,1080,963,1,0,0,1,1,2,117,0,0,0,0
1049,10248,1,0,1080,934,0,1,0,2,0,0,0,67,74,0,5
122,1060,1,0,1080,832,1,0,0,2,0,1,0,0,0,0,248
989,9708,1,0,1080,1006,1,0,0,1,1,0,0,0,0,74,0
1242,11931,1,0,1080,1014,1,0,0,2,0,0,0,34,0,24,8
12,110,1,0,1080,1028,0,0,1,1,1,0,4,48,0,0,0
458,4498,1,0,1080,507,1,0,0,2,0,1,0,573,0,0,0
564,5435,1,0,1080,674,0,1,0,1,1,2,53,79,0,0,274
365,3482,1,0,1080,1075,1,0,0,2,0,0,0,0,0,5,0
953,9278,1,0,1080,951,0,1,0,1,1,0,0,129,0,0,0
1015,9894,1,0,1080,1075,0,1,0,2,0,0,0,0,5,0,0
322,3032,1,0,1080,815,0,1,0,2,0,2,0,262,0,3,0
142,1211,1,0,1080,927,0,0,1,1,1,0,0,0,0,153,0
1325,12651,1,0,1080,1076,0,1,0,1,1,0,0,0,0,0,4
949,9233,1,0,1080,1078,1,0,0,2,0,0,0,0,0,2,0
1926,17864,1,0,1080,881,1,0,0,1,1,0,0,0,199,0,0
205,1757,1,0,1080,1076,0,0,1,1,1,0,0,0,0,4,0
1715,15864,1,0,1080,984,0,0,1,2,0,2,0,0,0,96,0
536,5270,1,0,1080,788,0,0,1,1,1,0,0,236,56,0,0
1279,12277,1,0,1080,1075,1,0,0,1,1,0,0,0,0,5,0
1554,14594,1,0,1080,968,0,1,0,1,1,0,52,59,0,0,1
1069,10461,1,0,1080,1075,1,0,0,2,0,1,0,5,0,0,0
852,8150,1,0,1080,841,0,0,1,2,0,0,65,171,0,0,3
1307,12450,1,0,1080,1079,0,1,0,2,0,0,1,0,0,0,0
1752,16157,1,0,1080,902,1,0,0,2,0,0,62,51,60,5,0
1485,14060,1,0,1080,1079,0,0,1,2,0,0,0,0,1,0,0
416,4070,1,0,1080,448,0,1,0,2,0,0,0,632,0,0,0
1388,13165,1,0,1080,703,0,1,0,1,1,0,0,377,0,0,0
1263,12097,1,0,1080,1075,0,0,1,2,0,0,0,5,0,0,0
1692,15600,1,0,1080,831,0,0,1,2,0,0,20,229,0,0,0
640,6102,1,0,1080,874,1,0,0,2,0,0,3,160,0,0,43
1265,12112,1,0,1080,1078,0,1,0,2,0,0,0,0,0,0,2
1450,13736,1,0,1080,895,1,0,0,2,0,0,0,0,185,0,0
1029,10041,1,0,1080,1041,0,0,1,2,0,0,0,39,0,0,0
1562,14648,1,0,1080,809,0,1,0,1,1,0,0,0,271,0,0
1348,12828,1,0,1080,396,0,1,0,2,0,0,0,684,0,0,0
401,3932,1,0,1080,1028,1,0,0,2,0,0,0,52,0,0,0
1244,11949,1,0,1080,778,1,0,0,2,0,2,0,263,0,0,39
1333,12723,1,0,1080,938,1,0,0,1,1,0,0,142,0,0,0
1499,14173,1,0,1080,1076,0,0,1,2,0,1,4,0,0,0,0
92,796,1,0,1080,720,0,1,0,2,0,1,0,202,158,0,0
1202,11563,1,0,1080,1047,0,0,1,1,1,2,0,31,0,2,0
