ID,PERID,uno,sero,tot,alt_out,Lin,Min,Hin,gend,gend1,nchlt11,Esc,Ho,Soc,AR,Eo
914,8902,1,0,1080,968,1,0,0,1,1,0,0,0,112,0,0
938,9103,1,0,1080,764,0,1,0,1,1,0,0,316,0,0,0
388,3773,1,0,1080,669,0,1,0,1,1,0,0,408,0,3,0
1390,13183,1,0,1080,1077,0,1,0,1,1,0,0,0,3,0,0
1226,11810,1,0,1080,840,1,0,0,2,0,1,0,194,46,0,0
1291,12340,1,0,1080,979,0,0,1,2,0,0,0,101,0,0,0
529,5156,1,0,1080,992,0,0,1,2,0,0,0,88,0,0,0
1178,11368,1,0,1080,816,0,1,0,1,1,0,0,264,0,0,0
1424,13525,1,0,1080,553,0,1,0,2,0,2,0,527,0,0,0
958,9376,1,0,1080,458,0,0,1,2,0,1,0,622,0,0,0
478,4688,1,0,1080,647,0,0,1,2,0,0,0,433,0,0,0
670,6509,1,0,1080,1001,1,0,0,2,0,0,0,0,0,79,0
813,7713,1,0,1080,972,1,0,0,1,1,3,0,108,0,0,0
360,3417,1,0,1080,866,0,0,1,2,0,0,44,106,0,7,57
671,6512,1,0,1080,1076,0,0,1,1,1,2,4,0,0,0,0
1128,11042,1,0,1080,454,0,0,1,2,0,0,0,626,0,0,0
338,3251,1,0,1080,885,1,0,0,1,1,0,0,178,17,0,0
290,2677,1,0,1080,1077,1,0,0,1,1,0,0,0,0,0,3
1691,15593,1,0,1080,998,0,0,1,2,0,0,0,82,0,0,0
606,5720,1,0,1080,896,1,0,0,2,0,0,0,184,0,0,0
1738,16054,1,0,1080,733,0,0,1,1,1,0,0,343,0,0,4
834,7956,1,0,1080,875,1,0,0,1,1,1,20,0,185,0,0
857,8200,1,0,1080,1015,0,0,1,2,0,1,0,62,0,3,0
1141,11113,1,0,1080,985,1,0,0,2,0,0,0,95,0,0,0
1664,15371,1,0,1080,818,1,0,0,1,1,0,0,88,143,18,13
946,9213,1,0,1080,794,0,1,0,1,1,0,0,140,146,0,0
1561,14633,1,0,1080,1017,0,1,0,1,1,0,0,50,0,13,0
1662,15369,1,0,1080,1010,0,0,1,2,0,0,43,27,0,0,0
1666,15403,1,0,1080,618,0,1,0,2,0,0,0,462,0,0,0
1833,16975,1,0,1080,823,1,0,0,1,1,0,0,142,115,0,0
625,5882,1,0,1080,1076,1,0,0,2,0,0,0,0,0,0,4
1492,14147,1,0,1080,818,1,0,0,1,1,0,0,0,262,0,0
323,3074,1,0,1080,918,0,0,1,1,1,0,0,162,0,0,0
1063,10386,1,0,1080,1079,1,0,0,2,0,0,0,0,0,1,0
1801,16624,1,0,1080,937,1,0,0,2,0,3,0,143,0,0,0
1445,13704,1,0,1080,1079,1,0,0,1,1,0,0,0,0,1,0
1401,13278,1,0,1080,928,0,1,0,2,0,0,5,147,0,0,0
1171,11314,1,0,1080,1075,1,0,0,1,1,0,0,0,5,0,0
272,2495,1,0,1080,350,1,0,0,1,1,0,0,0,730,0,0
1471,13934,1,0,1080,1077,0,1,0,2,0,0,0,3,0,0,0
1981,18322,1,0,1080,952,1,0,0,2,0,0,0,0,0,0,128
1798,16576,1,0,1080,666,1,0,0,1,1,0,0,79,335,0,0
821,7822,1,0,1080,904,0,0,1,2,0,0,0,176,0,0,0
1521,14350,1,0,1080,974,1,0,0,2,0,0,1,105,0,0,0
1405,13308,1,0,1080,1078,1,0,0,2,0,0,0,2,0,0,0
1130,11054,1,0,1080,994,0,0,1,2,0,1,0,86,0,0,0
1353,12849,1,0,1080,1009,1,0,0,1,1,0,0,70,0,0,1
1144,11137,1,0,1080,864,0,1,0,1,1,0,0,216,0,0,0
1271,12175,1,0,1080,1079,0,1,0,2,0,0,0,0,0,0,1
402,3940,1,0,1080,1046,1,0,0,2,0,0,34,0,0,0,0
1412,13386,1,0,1080,992,1,0,0,2,0,0,0,69,19,0,0
45,405,1,0,1080,1078,0,1,0,2,0,2,2,0,0,0,0
183,1558,1,0,1080,883,0,1,0,2,0,0,0,197,0,0,0
186,1570,1,0,1080,903,1,0,0,1,1,0,4,4,107,62,0
763,7327,1,0,1080,841,0,1,0,2,0,2,0,239,0,0,0
437,4302,1,0,1080,1076,0,1,0,1,1,0,0,0,0,0,4
46,417,1,0,1080,1045,1,0,0,1,1,0,0,17,18,0,0
1075,10581,1,0,1080,1076,0,1,0,2,0,0,4,0,0,0,0
224,1947,1,0,1080,860,1,0,0,1,1,0,0,109,66,0,45
148,1272,1,0,1080,385,0,1,0,2,0,0,0,628,0,0,67
1777,16382,1,0,1080,726,1,0,0,1,1,0,0,0,354,0,0
1550,14563,1,0,1080,1073,1,0,0,2,0,2,0,0,0,7,0
597,5629,1,0,1080,1079,1,0,0,2,0,1,0,0,0,0,1
1250,12015,1,0,1080,976,0,1,0,1,1,1,0,0,104,0,0
113,919,1,0,1080,797,1,0,0,2,0,0,0,283,0,0,0
1936,17983,1,0,1080,491,0,0,1,2,0,1,0,589,0,0,0
796,7593,1,0,1080,828,1,0,0,2,0,0,0,252,0,0,0
355,3385,1,0,1080,1078,1,0,0,1,1,2,0,0,0,2,0
1548,14533,1,0,1080,579,1,0,0,2,0,0,0,437,64,0,0
1219,11666,1,0,1080,1079,1,0,0,2,0,0,0,0,0,0,1
497,4877,1,0,1080,1079,0,1,0,1,1,0,1,0,0,0,0
2,21,1,0,1080,909,0,0,1,2,0,1,0,171,0,0,0
