ID,uno,sero,rural,urban,b51q11,Accomod,FandB,Transp,Shp,Recr,fr_fem,hinc20k,stlt3,st410,stgt10,bud
4860,1,0,0,1,3,0,300,200,6000,0,0.5,0,1,0,0,100000
11400,1,0,0,1,6,0,600,3000,100,0,0.333333333,0,0,1,0,100000
3133,1,0,1,0,3,0,200,1100,1100,0,0.75,0,1,0,0,100000
12774,1,0,0,1,2,0,0,1020,1000,0,0.6,0,1,0,0,100000
4223,1,0,1,0,1,900,1000,130,2900,0,0,0,1,0,0,100000
13612,1,0,0,1,3,0,0,660,0,0,0,0,1,0,0,100000
10546,1,0,0,1,6,6400,1700,12000,1900,0,0.5,1,0,1,0,100000
6459,1,0,0,1,7,0,1100,11200,300,0,0.75,0,0,1,0,100000
1823,1,0,1,0,3,0,200,400,200,0,0,0,1,0,0,100000
930,1,0,1,0,15,0,400,4510,1100,0,0.75,0,0,0,1,100000
3762,1,0,1,0,1,300,900,100,1100,0,0,0,1,0,0,100000
1258,1,0,1,0,15,0,800,200,900,0,0.666666667,0,0,0,1,100000
4688,1,0,1,0,4,0,1700,32,500,0,0,0,0,1,0,100000
944,1,0,1,0,3,3800,600,320,400,0,0,0,1,0,0,100000
5215,1,0,0,1,2,3200,1400,1500,2400,100,0.5,1,1,0,0,100000
14224,1,0,0,1,2,1400,500,300,700,0,0.6,0,1,0,0,100000
10695,1,0,0,1,10,0,3400,4200,300,0,0.5,0,0,1,0,100000
547,1,0,1,0,3,0,200,260,800,0,0.25,0,1,0,0,100000
8947,1,0,0,1,15,0,1900,144,600,0,0,0,0,0,1,100000
5346,1,0,0,1,5,0,0,4500,0,0,0.75,0,0,1,0,100000
4438,1,0,1,0,2,0,100,1300,900,0,1,0,1,0,0,100000
5291,1,0,0,1,5,0,1500,6500,600,0,0.5,0,0,1,0,100000
12260,1,0,0,1,4,300,400,400,1400,0,0.25,0,0,1,0,100000
13039,1,0,0,1,3,500,300,480,500,0,0.333333333,0,1,0,0,100000
13753,1,0,0,1,5,0,0,5000,1200,0,0.666666667,0,0,1,0,100000
